ano_mes,group_ab,group_xy,idade,renda,relacionamento,score_ext_1,score_ext_2,score_final,flag_1,score_ext_1_status,score_ext_2_status,score_final_status
202304,B,Y,30,1k~3k,0,166,712,0,1,score válido,score válido,score válido
202304,B,X,25,<1k,0,772,292,436,1,score válido,score válido,score válido
202304,B,Y,68,5k~10k,0,922,380,440,1,score válido,score válido,score válido
202304,A,Y,46,5k~10k,0,269,726,0,1,score válido,score válido,score válido
202304,B,X,64,1k~3k,0,701,350,359,1,score válido,score válido,score válido
202304,B,Y,102,1k~3k,1,600,442,319,1,score válido,score válido,score válido
202304,B,X,87,1k~3k,0,292,550,0,1,score válido,score válido,score válido
202304,B,Y,76,5k~10k,0,228,284,0,1,score válido,score válido,score válido
202304,A,X,21,5k~10k,0,944,759,371,1,score válido,score válido,score válido
202304,B,Y,74,10k~20k,0,694,260,411,1,score válido,score válido,score válido
202304,A,Y,101,1k~3k,0,641,33,526,1,score válido,score válido,score válido
202304,B,Y,53,30k+,0,997,783,391,1,score válido,score válido,score válido
202304,B,Y,91,3k~5k,0,347,358,109,1,score válido,score válido,score válido
202304,B,Y,65,5k~10k,1,221,843,0,1,score válido,score válido,score válido
202304,A,Y,21,1k~3k,0,323,616,0,1,score válido,score válido,score válido
202304,A,Y,99,3k~5k,1,161,828,0,1,score válido,score válido,score válido
202304,B,X,53,<1k,0,925,369,488,1,score válido,score válido,score válido
202304,B,Y,91,5k~10k,0,694,551,241,1,score válido,score válido,score válido
202304,B,Y,50,10k~20k,1,601,-1,524,1,score válido,score especial - sem cadastro na base,score válido
202304,A,Y,26,5k~10k,0,805,242,493,1,score válido,score válido,score válido
202304,B,Y,86,3k~5k,0,511,872,0,1,score válido,score válido,score válido
202304,A,Y,67,20k~30k,1,182,429,53,1,score válido,score válido,score válido
202304,B,Y,75,<1k,1,145,629,0,1,score válido,score válido,score válido
202304,A,Y,37,1k~3k,0,518,265,268,1,score válido,score válido,score válido
202304,B,Y,37,<1k,0,804,850,238,1,score válido,score válido,score válido
202304,A,Y,43,3k~5k,0,214,585,0,1,score válido,score válido,score válido
202304,B,Y,64,1k~3k,1,702,906,245,1,score válido,score válido,score válido
202304,B,X,38,5k~10k,0,242,228,33,1,score válido,score válido,score válido
202304,B,X,36,<1k,0,427,722,31,1,score válido,score válido,score válido
202304,A,X,26,<1k,0,51,0,18,1,score válido,score válido,score válido
202304,A,Y,94,5k~10k,0,498,590,109,1,score válido,score válido,score válido
202304,B,Y,79,10k~20k,0,161,287,11,1,score válido,score válido,score válido
202304,A,X,44,3k~5k,0,843,105,547,1,score válido,score válido,score válido
202304,A,Y,50,1k~3k,0,957,619,393,1,score válido,score válido,score válido
202304,A,Y,56,3k~5k,0,74,9,78,1,score válido,score válido,score válido
202304,B,Y,38,3k~5k,1,529,139,387,1,score válido,score válido,score válido
202304,A,X,53,1k~3k,0,701,358,338,1,score válido,score válido,score válido
202304,A,Y,52,3k~5k,0,55,435,0,1,score válido,score válido,score válido
202304,A,Y,46,5k~10k,0,549,907,0,1,score válido,score válido,score válido
202304,A,Y,72,5k~10k,0,936,321,577,1,score válido,score válido,score válido
202304,B,Y,68,1k~3k,0,522,31,332,1,score válido,score válido,score válido
202304,B,Y,46,1k~3k,1,617,962,132,1,score válido,score válido,score válido
202304,A,Y,90,<1k,0,321,828,0,1,score válido,score válido,score válido
202304,B,Y,24,3k~5k,0,611,211,296,1,score válido,score válido,score válido
202304,B,Y,71,10k~20k,0,887,506,374,1,score válido,score válido,score válido
202304,A,X,90,3k~5k,0,322,138,233,1,score válido,score válido,score válido
202304,A,Y,91,,0,770,955,165,1,score válido,score válido,score válido
202304,B,Y,93,10k~20k,0,566,506,222,1,score válido,score válido,score válido
202304,A,Y,44,3k~5k,1,249,461,114,1,score válido,score válido,score válido
202304,B,Y,67,,0,385,826,0,1,score válido,score válido,score válido
202304,B,Y,91,5k~10k,0,351,111,201,1,score válido,score válido,score válido
202304,B,Y,62,,1,463,249,300,1,score válido,score válido,score válido
202304,B,Y,57,<1k,0,103,727,0,1,score válido,score válido,score válido
202304,A,Y,15,5k~10k,0,142,606,0,1,score válido,score válido,score válido
202304,B,Y,96,,0,372,142,192,1,score válido,score válido,score válido
202304,A,Y,53,5k~10k,0,558,194,234,1,score válido,score válido,score válido
202304,B,Y,26,,1,614,878,223,1,score válido,score válido,score válido
202304,B,X,64,,0,910,820,307,1,score válido,score válido,score válido
202304,A,Y,23,10k~20k,0,565,-1,370,1,score válido,score especial - sem cadastro na base,score válido
202304,A,Y,63,1k~3k,0,727,951,185,1,score válido,score válido,score válido
202304,B,X,18,30k+,0,476,573,38,1,score válido,score válido,score válido
202304,A,X,105,10k~20k,0,519,460,143,1,score válido,score válido,score válido
202304,B,X,38,1k~3k,0,586,342,234,1,score válido,score válido,score válido
202304,B,X,82,3k~5k,0,517,363,233,1,score válido,score válido,score válido
202304,B,Y,74,30k+,0,302,484,16,1,score válido,score válido,score válido
202304,A,Y,42,10k~20k,0,978,194,611,1,score válido,score válido,score válido
202304,B,X,66,3k~5k,0,615,113,417,1,score válido,score válido,score válido
202304,B,X,34,5k~10k,0,339,552,21,1,score válido,score válido,score válido
202304,B,Y,77,,0,797,442,388,1,score válido,score válido,score válido
202304,B,X,44,5k~10k,1,155,671,0,1,score válido,score válido,score válido
202304,A,X,81,1k~3k,0,993,482,515,1,score válido,score válido,score válido
202304,A,X,33,5k~10k,0,787,380,368,1,score válido,score válido,score válido
