ano_mes,group_ab,group_xy,idade,renda,relacionamento,score_ext_1,score_ext_2,score_final,flag_1,score_ext_1_status,score_ext_2_status,score_final_status
202305,B,X,102,<1k,1,34,91,101,1,score válido,score válido,score válido
202305,B,Y,97,,1,778,655,339,1,score válido,score válido,score válido
202305,B,Y,94,5k~10k,0,897,557,389,1,score válido,score válido,score válido
202305,A,X,65,1k~3k,1,628,505,326,1,score válido,score válido,score válido
202305,B,X,46,10k~20k,0,868,936,207,1,score válido,score válido,score válido
202305,A,Y,35,<1k,0,200,635,0,1,score válido,score válido,score válido
202305,A,Y,44,1k~3k,1,900,347,618,1,score válido,score válido,score válido
202305,A,Y,21,3k~5k,0,936,242,555,1,score válido,score válido,score válido
202305,B,Y,52,5k~10k,1,277,466,167,1,score válido,score válido,score válido
202305,B,Y,26,3k~5k,0,339,309,78,1,score válido,score válido,score válido
202305,B,X,73,3k~5k,0,708,325,361,1,score válido,score válido,score válido
202305,A,X,28,10k~20k,1,329,685,54,1,score válido,score válido,score válido
202305,B,Y,85,<1k,0,990,276,571,1,score válido,score válido,score válido
202305,B,Y,31,5k~10k,1,281,-1,221,1,score válido,score especial - sem cadastro na base,score válido
202305,B,X,37,,0,19,338,0,1,score válido,score válido,score válido
202305,B,X,91,1k~3k,0,816,931,250,1,score válido,score válido,score válido
202305,A,Y,34,30k+,0,33,652,0,1,score válido,score válido,score válido
202305,B,Y,19,1k~3k,0,974,506,505,1,score válido,score válido,score válido
202305,A,Y,20,3k~5k,0,596,430,294,1,score válido,score válido,score válido
202305,B,Y,27,,0,434,843,0,1,score válido,score válido,score válido
202305,B,X,17,10k~20k,0,730,105,519,1,score válido,score válido,score válido
202305,A,X,67,3k~5k,0,713,294,371,1,score válido,score válido,score válido
202305,A,Y,45,3k~5k,0,382,559,65,1,score válido,score válido,score válido
202305,A,Y,17,3k~5k,1,206,659,10,1,score válido,score válido,score válido
202305,A,Y,22,3k~5k,1,844,305,558,1,score válido,score válido,score válido
202305,B,X,85,,0,922,802,325,1,score válido,score válido,score válido
202305,A,X,64,3k~5k,0,995,306,573,1,score válido,score válido,score válido
202305,B,X,85,3k~5k,0,357,12,214,1,score válido,score válido,score válido
202305,A,Y,89,1k~3k,0,573,499,180,1,score válido,score válido,score válido
202305,B,Y,102,5k~10k,0,981,996,297,1,score válido,score válido,score válido
202305,B,Y,73,20k~30k,0,406,317,102,1,score válido,score válido,score válido
202305,A,Y,35,1k~3k,1,789,302,523,1,score válido,score válido,score válido
202305,B,Y,34,1k~3k,0,940,477,462,1,score válido,score válido,score válido
