ano_mes,group_ab,group_xy,idade,renda,relacionamento,score_ext_1,score_ext_2,score_final,flag_1,score_ext_1_status,score_ext_2_status,score_final_status
202306,A,Y,77,3k~5k,0,797,746,266,1,score válido,score válido,score válido
202306,A,Y,72,3k~5k,0,913,446,480,1,score válido,score válido,score válido
202306,A,X,63,1k~3k,0,371,538,21,1,score válido,score válido,score válido
202306,B,Y,85,5k~10k,0,802,284,463,1,score válido,score válido,score válido
202306,B,Y,57,3k~5k,1,710,180,534,1,score válido,score válido,score válido
202306,A,Y,15,1k~3k,0,576,553,139,1,score válido,score válido,score válido
202306,B,X,91,<1k,1,939,-1,757,1,score válido,score especial - sem cadastro na base,score válido
202306,B,Y,27,10k~20k,0,660,431,238,1,score válido,score válido,score válido
202306,A,Y,30,5k~10k,0,582,210,331,1,score válido,score válido,score válido
202306,B,Y,76,,0,578,582,212,1,score válido,score válido,score válido
202306,A,Y,64,1k~3k,0,598,941,63,1,score válido,score válido,score válido
202306,B,X,72,1k~3k,1,896,912,368,1,score válido,score válido,score válido
202306,B,Y,105,30k+,0,278,487,30,1,score válido,score válido,score válido
202306,B,X,100,,0,704,499,277,1,score válido,score válido,score válido
202306,B,Y,75,1k~3k,1,198,37,281,1,score válido,score válido,score válido
202306,A,Y,22,1k~3k,0,259,279,13,1,score válido,score válido,score válido
202306,A,Y,30,,1,652,509,331,1,score válido,score válido,score válido
202306,A,Y,75,,0,513,523,149,1,score válido,score válido,score válido
202306,B,X,30,20k~30k,0,905,422,467,1,score válido,score válido,score válido
202306,A,Y,51,5k~10k,0,658,569,245,1,score válido,score válido,score válido
202306,B,Y,67,10k~20k,0,399,867,0,1,score válido,score válido,score válido
202306,B,Y,84,10k~20k,0,126,701,0,1,score válido,score válido,score válido
202306,B,X,103,3k~5k,0,74,301,0,1,score válido,score válido,score válido
202306,B,Y,72,5k~10k,0,492,571,125,1,score válido,score válido,score válido
202306,B,Y,101,,1,572,264,377,1,score válido,score válido,score válido
202306,A,Y,97,3k~5k,0,478,-2,358,1,score válido,score especial - no hit,score válido
202306,A,Y,39,1k~3k,1,428,987,0,1,score válido,score válido,score válido
202306,A,Y,15,10k~20k,0,540,58,377,1,score válido,score válido,score válido
202306,B,X,87,,0,407,320,158,1,score válido,score válido,score válido
