ano_mes,group_ab,group_xy,idade,renda,relacionamento,score_ext_1,score_ext_2,score_final,flag_1,score_ext_1_status,score_ext_2_status,score_final_status
202301,B,X,66,5k~10k,1,542,109,424,1,score válido,score válido,score válido
202301,A,Y,29,1k~3k,0,242,933,0,1,score válido,score válido,score válido
202301,B,Y,86,30k+,0,336,865,0,1,score válido,score válido,score válido
202301,A,Y,75,3k~5k,1,851,218,574,1,score válido,score válido,score válido
202301,A,Y,35,1k~3k,1,555,774,171,1,score válido,score válido,score válido
202301,A,X,97,<1k,0,510,601,117,1,score válido,score válido,score válido
202301,A,Y,101,5k~10k,0,90,971,0,1,score válido,score válido,score válido
202301,A,X,89,5k~10k,0,6,361,0,1,score válido,score válido,score válido
202301,B,Y,89,10k~20k,0,964,675,384,1,score válido,score válido,score válido
202301,A,Y,102,30k+,0,371,44,223,1,score válido,score válido,score válido
202301,A,Y,38,<1k,0,599,384,246,1,score válido,score válido,score válido
202301,A,Y,17,10k~20k,1,70,964,0,1,score válido,score válido,score válido
202301,B,Y,36,1k~3k,0,680,530,250,1,score válido,score válido,score válido
202301,B,Y,67,30k+,1,932,273,653,1,score válido,score válido,score válido
202301,A,Y,16,20k~30k,1,571,102,513,1,score válido,score válido,score válido
202301,B,Y,102,5k~10k,1,117,698,0,1,score válido,score válido,score válido
202301,B,Y,44,10k~20k,0,578,638,181,1,score válido,score válido,score válido
202301,A,Y,52,3k~5k,1,764,361,542,1,score válido,score válido,score válido
202301,B,Y,16,3k~5k,0,400,950,0,1,score válido,score válido,score válido
202301,B,Y,78,20k~30k,0,879,2,612,1,score válido,score válido,score válido
202301,B,Y,74,3k~5k,0,645,289,358,1,score válido,score válido,score válido
202301,A,X,35,3k~5k,0,899,920,223,1,score válido,score válido,score válido
202301,A,Y,47,3k~5k,1,620,307,389,1,score válido,score válido,score válido
202301,A,X,90,20k~30k,1,122,237,71,1,score válido,score válido,score válido
202301,B,Y,72,3k~5k,0,303,525,72,1,score válido,score válido,score válido
202301,B,Y,36,1k~3k,0,193,821,0,1,score válido,score válido,score válido
202301,A,Y,103,10k~20k,0,908,84,579,1,score válido,score válido,score válido
202301,A,Y,63,20k~30k,0,758,942,120,1,score válido,score válido,score válido
202301,B,Y,105,1k~3k,1,673,791,276,1,score válido,score válido,score válido
202301,B,Y,73,1k~3k,0,294,164,147,1,score válido,score válido,score válido
202301,B,Y,56,1k~3k,1,175,706,0,1,score válido,score válido,score válido
202301,B,Y,74,3k~5k,0,754,372,402,1,score válido,score válido,score válido
202301,B,Y,94,3k~5k,0,469,390,134,1,score válido,score válido,score válido
202301,A,X,29,10k~20k,0,218,779,0,1,score válido,score válido,score válido
202301,A,Y,76,5k~10k,0,613,962,87,1,score válido,score válido,score válido
202301,A,Y,76,5k~10k,0,30,108,0,1,score válido,score válido,score válido
202301,B,Y,61,3k~5k,1,319,409,197,1,score válido,score válido,score válido
202301,A,Y,76,20k~30k,1,463,470,230,1,score válido,score válido,score válido
202301,A,Y,65,3k~5k,0,139,363,0,1,score válido,score válido,score válido
202301,A,Y,69,,0,985,350,543,1,score válido,score válido,score válido
202301,A,Y,78,5k~10k,0,201,32,101,1,score válido,score válido,score válido
202301,B,Y,17,1k~3k,0,121,679,0,1,score válido,score válido,score válido
202301,A,Y,65,5k~10k,0,195,425,0,1,score válido,score válido,score válido
202301,A,X,21,3k~5k,0,767,178,481,1,score válido,score válido,score válido
202301,B,Y,35,5k~10k,1,420,813,21,1,score válido,score válido,score válido
202301,A,X,87,<1k,1,561,799,176,1,score válido,score válido,score válido
202301,B,X,53,1k~3k,1,11,476,0,1,score válido,score válido,score válido
202301,B,X,32,30k+,0,24,284,0,1,score válido,score válido,score válido
202301,B,X,18,1k~3k,1,440,631,160,1,score válido,score válido,score válido
202301,B,Y,103,20k~30k,0,815,273,444,1,score válido,score válido,score válido
202301,A,Y,74,1k~3k,0,884,220,575,1,score válido,score válido,score válido
202301,B,Y,28,5k~10k,1,77,725,0,1,score válido,score válido,score válido
202301,A,Y,23,5k~10k,0,534,20,400,1,score válido,score válido,score válido
202301,A,Y,104,5k~10k,0,913,76,597,1,score válido,score válido,score válido
202301,A,Y,67,3k~5k,1,382,-2,341,1,score válido,score especial - no hit,score válido
202301,A,Y,16,1k~3k,1,828,135,628,1,score válido,score válido,score válido
202301,B,Y,98,<1k,1,125,50,167,1,score válido,score válido,score válido
202301,A,Y,74,3k~5k,0,935,996,240,1,score válido,score válido,score válido
202301,B,X,85,5k~10k,0,749,274,382,1,score válido,score válido,score válido
202301,A,X,58,,1,941,132,707,1,score válido,score válido,score válido
202301,A,Y,22,30k+,0,674,225,363,1,score válido,score válido,score válido
202301,B,Y,61,10k~20k,0,357,935,0,1,score válido,score válido,score válido
202301,A,X,49,10k~20k,0,938,510,472,0,score válido,score válido,score válido
202301,B,X,92,5k~10k,0,268,352,82,1,score válido,score válido,score válido
202301,A,X,95,1k~3k,0,325,871,0,1,score válido,score válido,score válido
202301,A,Y,50,,0,698,383,349,1,score válido,score válido,score válido
202301,A,Y,64,5k~10k,0,763,321,385,1,score válido,score válido,score válido
202301,B,Y,18,5k~10k,0,929,191,536,1,score válido,score válido,score válido
202301,A,X,16,1k~3k,0,196,365,0,1,score válido,score válido,score válido
202301,A,Y,20,3k~5k,0,796,303,468,1,score válido,score válido,score válido
202301,A,X,68,3k~5k,1,736,671,338,1,score válido,score válido,score válido
202301,B,Y,18,30k+,0,54,275,0,1,score válido,score válido,score válido
202301,B,X,68,5k~10k,0,381,569,57,1,score válido,score válido,score válido
202301,B,Y,77,3k~5k,1,275,46,265,1,score válido,score válido,score válido
202301,A,Y,32,,0,297,174,174,1,score válido,score válido,score válido
202301,B,Y,104,1k~3k,0,983,395,548,1,score válido,score válido,score válido
202301,B,Y,58,3k~5k,0,639,936,47,1,score válido,score válido,score válido
202301,B,Y,48,<1k,1,715,364,512,1,score válido,score válido,score válido
202301,B,X,88,10k~20k,1,977,657,530,1,score válido,score válido,score válido
202301,B,Y,76,,1,371,240,268,1,score válido,score válido,score válido
202301,A,Y,28,1k~3k,1,800,109,591,1,score válido,score válido,score válido
202301,B,Y,62,30k+,0,429,39,316,1,score válido,score válido,score válido
202301,B,Y,29,1k~3k,0,869,291,508,1,score válido,score válido,score válido
202301,A,Y,86,,0,172,140,87,1,score válido,score válido,score válido
202301,A,Y,92,10k~20k,0,948,157,587,1,score válido,score válido,score válido
202301,B,X,101,20k~30k,1,211,756,0,1,score válido,score válido,score válido
202301,A,Y,76,<1k,0,319,-1,254,1,score válido,score especial - sem cadastro na base,score válido
202301,B,X,54,,0,754,549,290,1,score válido,score válido,score válido
202301,A,Y,99,10k~20k,1,388,367,184,1,score válido,score válido,score válido
202301,A,Y,94,3k~5k,0,604,496,245,1,score válido,score válido,score válido
202301,A,X,96,20k~30k,0,439,554,38,1,score válido,score válido,score válido
202301,A,Y,67,1k~3k,0,740,299,405,1,score válido,score válido,score válido
202301,A,Y,38,30k+,0,220,281,23,1,score válido,score válido,score válido
202301,A,Y,40,1k~3k,0,48,728,0,1,score válido,score válido,score válido
202301,B,X,103,10k~20k,0,293,869,0,1,score válido,score válido,score válido
202301,B,Y,74,5k~10k,0,469,176,293,1,score válido,score válido,score válido
202301,A,Y,55,<1k,1,159,79,166,1,score válido,score válido,score válido
202301,B,Y,43,1k~3k,1,348,896,16,1,score válido,score válido,score válido
202301,B,Y,29,<1k,0,394,336,204,1,score válido,score válido,score válido
202301,B,X,59,3k~5k,0,47,542,0,1,score válido,score válido,score válido
202301,B,Y,79,3k~5k,1,579,346,378,1,score válido,score válido,score válido
202301,A,Y,103,5k~10k,1,884,108,761,1,score válido,score válido,score válido
202301,A,Y,85,1k~3k,0,143,581,0,1,score válido,score válido,score válido
202301,A,X,23,1k~3k,0,594,515,212,1,score válido,score válido,score válido
202301,A,Y,102,10k~20k,1,662,186,514,1,score válido,score válido,score válido
202301,B,Y,15,<1k,0,413,441,114,1,score válido,score válido,score válido
202301,A,Y,22,,0,698,793,121,1,score válido,score válido,score válido
202301,B,Y,102,30k+,0,405,582,82,1,score válido,score válido,score válido
202301,B,Y,77,5k~10k,0,500,78,261,1,score válido,score válido,score válido
202301,B,Y,25,5k~10k,0,-1,539,0,1,score especial - óbito,score válido,score válido
202301,B,X,95,30k+,0,689,697,237,1,score válido,score válido,score válido
202301,A,Y,22,1k~3k,1,658,789,235,1,score válido,score válido,score válido
202301,B,Y,49,<1k,0,28,622,0,1,score válido,score válido,score válido
202301,A,Y,49,1k~3k,0,362,135,227,1,score válido,score válido,score válido
202301,B,X,47,10k~20k,0,979,704,377,1,score válido,score válido,score válido
202301,B,Y,19,<1k,1,415,671,86,1,score válido,score válido,score válido
202301,B,Y,55,5k~10k,0,497,4,355,1,score válido,score válido,score válido
202301,A,X,42,,0,909,400,472,1,score válido,score válido,score válido
202301,B,Y,21,30k+,0,715,319,329,1,score válido,score válido,score válido
202301,A,Y,87,5k~10k,1,578,663,261,1,score válido,score válido,score válido
202301,A,X,86,<1k,0,796,200,495,1,score válido,score válido,score válido
202301,B,Y,26,20k~30k,0,863,583,356,1,score válido,score válido,score válido
202301,A,Y,48,5k~10k,0,451,912,0,1,score válido,score válido,score válido
202301,B,Y,47,1k~3k,1,470,794,127,1,score válido,score válido,score válido
202301,A,X,62,<1k,0,380,920,0,1,score válido,score válido,score válido
202301,B,Y,37,,1,967,979,378,1,score válido,score válido,score válido
202301,A,Y,76,5k~10k,1,694,-1,607,1,score válido,score especial - sem cadastro na base,score válido
202301,B,Y,102,20k~30k,1,74,615,0,1,score válido,score válido,score válido
202301,B,Y,51,30k+,0,862,401,464,1,score válido,score válido,score válido
202301,B,Y,58,5k~10k,1,475,857,92,1,score válido,score válido,score válido
202301,A,X,100,5k~10k,0,59,236,0,1,score válido,score válido,score válido
202301,B,Y,105,3k~5k,0,545,981,0,1,score válido,score válido,score válido
202301,A,Y,49,3k~5k,1,411,606,157,1,score válido,score válido,score válido
202301,A,Y,79,3k~5k,0,877,790,355,1,score válido,score válido,score válido
202301,A,Y,61,10k~20k,0,196,67,95,1,score válido,score válido,score válido
202301,B,Y,92,5k~10k,0,825,166,538,1,score válido,score válido,score válido
202301,A,Y,17,30k+,0,553,754,69,1,score válido,score válido,score válido
202301,B,Y,15,3k~5k,0,45,2,33,1,score válido,score válido,score válido
202301,B,Y,19,5k~10k,1,972,813,500,1,score válido,score válido,score válido
202301,A,X,104,5k~10k,1,508,-1,482,1,score válido,score especial - sem cadastro na base,score válido
202301,B,X,28,5k~10k,0,283,650,0,1,score válido,score válido,score válido
202301,A,Y,41,10k~20k,0,464,352,165,1,score válido,score válido,score válido
202301,B,Y,23,1k~3k,1,857,604,496,1,score válido,score válido,score válido
202301,A,Y,93,5k~10k,0,298,690,0,1,score válido,score válido,score válido
202301,B,Y,29,1k~3k,0,184,329,0,1,score válido,score válido,score válido
202301,A,Y,104,3k~5k,0,120,89,28,1,score válido,score válido,score válido
202301,A,Y,56,3k~5k,0,291,50,206,1,score válido,score válido,score válido
202301,A,Y,91,5k~10k,0,778,581,345,1,score válido,score válido,score válido
202301,A,X,65,,0,466,511,125,1,score válido,score válido,score válido
202301,A,Y,77,5k~10k,0,219,737,0,1,score válido,score válido,score válido
202301,A,Y,66,10k~20k,0,157,500,0,1,score válido,score válido,score válido
202301,A,Y,18,5k~10k,0,326,411,55,1,score válido,score válido,score válido
202301,B,X,37,5k~10k,1,940,386,579,1,score válido,score válido,score válido
202301,B,X,29,<1k,1,336,6,304,1,score válido,score válido,score válido
202301,B,Y,57,1k~3k,0,988,322,575,1,score válido,score válido,score válido
202301,B,Y,43,3k~5k,0,480,976,0,1,score válido,score válido,score válido
202301,B,Y,50,3k~5k,1,171,871,0,1,score válido,score válido,score válido
202301,B,Y,27,<1k,0,890,316,541,1,score válido,score válido,score válido
202301,A,Y,46,1k~3k,1,455,579,207,1,score válido,score válido,score válido
202301,B,Y,85,1k~3k,0,707,845,125,1,score válido,score válido,score válido
202301,A,Y,73,,1,984,430,600,1,score válido,score válido,score válido
202301,B,X,100,3k~5k,0,40,-1,69,1,score válido,score especial - sem cadastro na base,score válido
202301,B,Y,42,3k~5k,0,87,55,23,1,score válido,score válido,score válido
202301,A,Y,80,1k~3k,1,718,500,439,1,score válido,score válido,score válido
202301,B,Y,56,5k~10k,0,274,969,0,1,score válido,score válido,score válido
202301,A,Y,59,1k~3k,0,176,687,0,1,score válido,score válido,score válido
202301,A,X,76,1k~3k,0,29,52,0,1,score válido,score válido,score válido
202301,A,Y,71,5k~10k,1,11,172,38,1,score válido,score válido,score válido
202301,B,Y,20,<1k,0,772,767,240,1,score válido,score válido,score válido
202301,B,Y,42,<1k,0,125,839,0,1,score válido,score válido,score válido
202301,B,Y,42,1k~3k,0,462,610,54,1,score válido,score válido,score válido
202301,A,Y,58,<1k,0,602,637,161,1,score válido,score válido,score válido
202301,B,Y,98,1k~3k,0,423,8,298,1,score válido,score válido,score válido
202301,B,Y,44,3k~5k,0,17,825,0,1,score válido,score válido,score válido
202301,A,Y,76,20k~30k,0,782,784,205,1,score válido,score válido,score válido
202301,B,Y,89,5k~10k,0,0,244,0,1,score válido,score válido,score válido
202301,A,X,103,5k~10k,0,760,703,274,1,score válido,score válido,score válido
202301,A,X,76,1k~3k,0,893,199,503,1,score válido,score válido,score válido
202301,A,Y,15,,0,427,20,330,1,score válido,score válido,score válido
202301,B,X,41,3k~5k,0,531,185,294,1,score válido,score válido,score válido
202301,A,X,76,<1k,1,472,162,322,0,score válido,score válido,score válido
202301,A,Y,91,5k~10k,0,383,324,127,1,score válido,score válido,score válido
202301,A,X,17,1k~3k,1,887,406,570,1,score válido,score válido,score válido
202301,A,X,84,3k~5k,0,893,499,412,1,score válido,score válido,score válido
202301,A,Y,86,5k~10k,0,329,466,47,1,score válido,score válido,score válido
202301,A,Y,41,30k+,0,611,256,342,1,score válido,score válido,score válido
202301,B,Y,23,3k~5k,0,927,9,639,1,score válido,score válido,score válido
202301,A,Y,76,10k~20k,1,962,597,507,1,score válido,score válido,score válido
202301,B,Y,51,,1,504,383,293,1,score válido,score válido,score válido
202301,B,Y,65,1k~3k,1,447,284,344,1,score válido,score válido,score válido
202301,A,Y,58,1k~3k,0,271,865,0,1,score válido,score válido,score válido
202301,A,Y,38,3k~5k,0,959,742,315,1,score válido,score válido,score válido
202301,B,Y,93,3k~5k,0,134,855,0,1,score válido,score válido,score válido
202301,A,Y,73,3k~5k,1,576,485,319,1,score válido,score válido,score válido
202301,A,Y,46,,0,275,113,177,1,score válido,score válido,score válido
202301,A,X,102,10k~20k,0,271,690,0,1,score válido,score válido,score válido
202301,B,Y,66,5k~10k,0,399,190,152,1,score válido,score válido,score válido
202301,B,X,76,3k~5k,0,999,430,547,1,score válido,score válido,score válido
202301,B,Y,72,20k~30k,1,45,45,83,1,score válido,score válido,score válido
202301,B,Y,66,,0,574,822,34,1,score válido,score válido,score válido
202301,A,Y,26,20k~30k,0,73,108,0,1,score válido,score válido,score válido
202301,A,X,53,<1k,0,146,902,0,1,score válido,score válido,score válido
202301,A,Y,16,5k~10k,1,434,862,62,1,score válido,score válido,score válido
202301,A,X,17,<1k,0,506,454,196,1,score válido,score válido,score válido
202301,A,Y,70,1k~3k,1,251,739,3,1,score válido,score válido,score válido
202301,A,Y,95,<1k,0,309,612,0,0,score válido,score válido,score válido
202301,A,X,73,5k~10k,1,77,799,0,1,score válido,score válido,score válido
202301,A,Y,16,5k~10k,1,296,420,123,1,score válido,score válido,score válido
