group_ab,group_xy,percentil,total_fraudes_baseline,total_fraudes_producao,total_fraudes_safra,percentual_fraudes_total_baseline,percentual_fraudes_total_producao,safra,score
A,X,75,115,115,445,25.842696629213485,25.842696629213485,202305,score_ext_1
A,Y,75,283,277,1055,26.824644549763033,26.25592417061611,202305,score_ext_1
B,X,75,119,112,438,27.168949771689498,25.570776255707763,202305,score_ext_1
B,Y,75,282,257,1002,28.143712574850298,25.64870259481038,202305,score_ext_1
A,X,85,79,72,445,17.752808988764045,16.179775280898877,202305,score_ext_1
A,Y,85,177,170,1055,16.777251184834125,16.113744075829384,202305,score_ext_1
B,X,85,75,69,438,17.123287671232877,15.753424657534246,202305,score_ext_1
B,Y,85,180,158,1002,17.964071856287426,15.768463073852296,202305,score_ext_1
A,X,95,32,28,445,7.191011235955057,6.292134831460674,202305,score_ext_1
A,Y,95,66,65,1055,6.2559241706161135,6.161137440758294,202305,score_ext_1
B,X,95,31,26,438,7.077625570776255,5.93607305936073,202305,score_ext_1
B,Y,95,65,61,1002,6.487025948103792,6.087824351297405,202305,score_ext_1
