group_ab,group_xy,percentil,total_fraudes_baseline,total_fraudes_producao,total_fraudes_safra,percentual_fraudes_total_baseline,percentual_fraudes_total_producao,safra,score
A,X,75,111,112,431,25.754060324825982,25.986078886310903,202306,score_ext_1
A,Y,75,263,271,1048,25.095419847328245,25.858778625954198,202306,score_ext_1
B,X,75,127,116,452,28.097345132743364,25.663716814159294,202306,score_ext_1
B,Y,75,282,263,1014,27.810650887573964,25.93688362919132,202306,score_ext_1
A,X,85,72,69,431,16.70533642691415,16.009280742459396,202306,score_ext_1
A,Y,85,155,166,1048,14.790076335877863,15.839694656488549,202306,score_ext_1
B,X,85,86,72,452,19.02654867256637,15.929203539823009,202306,score_ext_1
B,Y,85,161,161,1014,15.877712031558186,15.877712031558186,202306,score_ext_1
A,X,95,21,26,431,4.872389791183294,6.0324825986078885,202306,score_ext_1
A,Y,95,67,63,1048,6.393129770992366,6.011450381679389,202306,score_ext_1
B,X,95,36,28,452,7.964601769911504,6.1946902654867255,202306,score_ext_1
B,Y,95,70,63,1014,6.903353057199212,6.21301775147929,202306,score_ext_1
