score,safra,group_ab,group_xy,percentil,score_percentil,count,percent
score_final,baseline,B,Y,10,0,3151,100.0
score_final,baseline,B,Y,20,0,3151,100.0
score_final,baseline,B,Y,30,30,2222,70.51729609647731
score_final,baseline,B,Y,40,102,1898,60.23484608060933
score_final,baseline,B,Y,50,178,1582,50.206283719454134
score_final,baseline,B,Y,60,246,1268,40.24119327197715
score_final,baseline,B,Y,70,308,979,31.069501745477623
score_final,baseline,B,Y,75,349,814,25.83306886702634
score_final,baseline,B,Y,80,390,650,20.628371945414152
score_final,baseline,B,Y,85,435,499,15.836242462710251
score_final,baseline,B,Y,90,490,342,10.853697238971755
score_final,baseline,B,Y,95,557,188,5.966359885750555
score_final,baseline,B,Y,100,785,1,0.031735956839098696
score_final,baseline,A,X,10,0,1313,100.0
score_final,baseline,A,X,20,0,1313,100.0
score_final,baseline,A,X,30,13,926,70.52551408987053
score_final,baseline,A,X,40,99,788,60.01523229246002
score_final,baseline,A,X,50,177,662,50.41888804265042
score_final,baseline,A,X,60,252,539,41.05102817974105
score_final,baseline,A,X,70,331,406,30.921553693830923
score_final,baseline,A,X,75,371,337,25.666412795125666
score_final,baseline,A,X,80,408,277,21.096725057121095
score_final,baseline,A,X,85,454,211,16.070068545316072
score_final,baseline,A,X,90,510,145,11.043412033511043
score_final,baseline,A,X,95,583,79,6.016755521706017
score_final,baseline,A,X,100,783,1,0.07616146230007616
score_final,baseline,A,Y,10,0,3178,100.0
score_final,baseline,A,Y,20,0,3178,100.0
score_final,baseline,A,Y,30,35,2244,70.61044682190057
score_final,baseline,A,Y,40,109,1914,60.22655758338578
score_final,baseline,A,Y,50,180,1601,50.37759597230963
score_final,baseline,A,Y,60,245,1290,40.59156702328509
score_final,baseline,A,Y,70,322,982,30.899937067337945
score_final,baseline,A,Y,75,358,820,25.802391441157962
score_final,baseline,A,Y,80,399,662,20.830711139081185
score_final,baseline,A,Y,85,447,501,15.764631843926999
score_final,baseline,A,Y,90,507,348,10.950283196979232
score_final,baseline,A,Y,95,573,191,6.010069225928256
score_final,baseline,A,Y,100,839,1,0.031466331025802395
score_final,baseline,B,X,10,0,1358,100.0
score_final,baseline,B,X,20,0,1358,100.0
score_final,baseline,B,X,30,29,958,70.54491899852725
score_final,baseline,B,X,40,97,815,60.014727540500736
score_final,baseline,B,X,50,170,682,50.220913107511045
score_final,baseline,B,X,60,234,558,41.08983799705449
score_final,baseline,B,X,70,317,416,30.633284241531666
score_final,baseline,B,X,75,350,356,26.215022091310754
score_final,baseline,B,X,80,400,281,20.692194403534607
score_final,baseline,B,X,85,450,213,15.68483063328424
score_final,baseline,B,X,90,494,151,11.119293078055964
score_final,baseline,B,X,95,558,82,6.0382916053019144
score_final,baseline,B,X,100,755,1,0.07363770250368189
