score,safra,percentil,group_ab,group_xy,score_percentil,count,percent,score_baseline,count_baseline,percent_baseline
score_ext_1,202304,10,TODOS,TODOS,103,2675,89.88575268817203,104,2667,89.61693548387096
score_ext_1,202304,20,TODOS,TODOS,203,2375,79.80510752688173,208,2360,79.3010752688172
score_ext_1,202304,30,TODOS,TODOS,298,2108,70.83333333333334,309,2062,69.28763440860214
score_ext_1,202304,40,TODOS,TODOS,404,1800,60.483870967741936,402,1808,60.752688172043015
score_ext_1,202304,50,TODOS,TODOS,504,1507,50.63844086021505,499,1524,51.20967741935484
score_ext_1,202304,60,TODOS,TODOS,594,1215,40.82661290322581,598,1206,40.524193548387096
score_ext_1,202304,70,TODOS,TODOS,696,920,30.913978494623656,690,937,31.485215053763444
score_ext_1,202304,75,TODOS,TODOS,746,772,25.940860215053764,743,780,26.209677419354836
score_ext_1,202304,80,TODOS,TODOS,793,623,20.934139784946236,793,623,20.934139784946236
score_ext_1,202304,85,TODOS,TODOS,839,473,15.893817204301076,842,466,15.658602150537634
score_ext_1,202304,90,TODOS,TODOS,887,324,10.887096774193548,893,304,10.21505376344086
score_ext_1,202304,95,TODOS,TODOS,942,176,5.913978494623656,941,179,6.014784946236559
score_ext_1,202304,100,TODOS,TODOS,1000,2,0.06720430107526883,1000,2,0.06720430107526883
