score,safra,percentil,group_ab,group_xy,score_percentil,count,percent,score_baseline,count_baseline,percent_baseline
score_final,202305,10,TODOS,TODOS,0,3000,100.0,104,1843,61.43333333333333
score_final,202305,20,TODOS,TODOS,0,3000,100.0,208,1428,47.599999999999994
score_final,202305,30,TODOS,TODOS,38,2094,69.8,309,995,33.166666666666664
score_final,202305,40,TODOS,TODOS,107,1824,60.8,402,616,20.533333333333335
score_final,202305,50,TODOS,TODOS,180,1532,51.06666666666667,499,311,10.366666666666667
score_final,202305,60,TODOS,TODOS,257,1214,40.46666666666667,598,118,3.933333333333333
score_final,202305,70,TODOS,TODOS,322,926,30.866666666666664,690,21,0.7000000000000001
score_final,202305,75,TODOS,TODOS,359,780,26.0,743,6,0.2
score_final,202305,80,TODOS,TODOS,401,620,20.666666666666668,793,2,0.06666666666666667
score_final,202305,85,TODOS,TODOS,444,481,16.03333333333333,842,0,0.0
score_final,202305,90,TODOS,TODOS,493,330,11.0,893,0,0.0
score_final,202305,95,TODOS,TODOS,555,180,6.0,941,0,0.0
score_final,202305,100,TODOS,TODOS,827,1,0.03333333333333333,1000,0,0.0
