score,safra,percentil,group_ab,group_xy,score_percentil,count,percent,score_baseline,count_baseline,percent_baseline
score_ext_1,202306,40,TODOS,X,387,543,61.01123595505618,382,546,61.348314606741575
score_ext_1,202306,95,TODOS,X,942,54,6.067415730337078,947,50,5.617977528089887
score_ext_1,202306,70,TODOS,Y,692,637,30.625000000000004,690,638,30.673076923076927
score_ext_1,202306,80,TODOS,Y,782,433,20.817307692307693,793,409,19.663461538461537
score_ext_1,202306,75,TODOS,X,755,229,25.730337078651683,760,224,25.168539325842698
score_ext_1,202306,30,TODOS,X,296,622,69.88764044943821,287,633,71.12359550561797
score_ext_1,202306,50,TODOS,Y,491,1060,50.96153846153846,499,1041,50.04807692307692
score_ext_1,202306,20,TODOS,Y,196,1668,80.1923076923077,208,1634,78.5576923076923
score_ext_1,202306,60,TODOS,X,595,365,41.01123595505618,596,363,40.78651685393259
score_ext_1,202306,60,TODOS,Y,599,837,40.24038461538461,598,840,40.38461538461539
score_ext_1,202306,10,TODOS,X,96,799,89.7752808988764,93,802,90.11235955056179
score_ext_1,202306,40,TODOS,Y,387,1265,60.817307692307686,402,1229,59.08653846153846
score_ext_1,202306,70,TODOS,X,704,276,31.011235955056183,708,271,30.449438202247194
score_ext_1,202306,90,TODOS,Y,888,227,10.913461538461538,893,223,10.721153846153845
score_ext_1,202306,75,TODOS,Y,746,533,25.624999999999996,743,537,25.817307692307693
score_ext_1,202306,20,TODOS,X,199,712,80.0,194,719,80.78651685393258
score_ext_1,202306,10,TODOS,Y,101,1878,90.28846153846153,104,1868,89.8076923076923
score_ext_1,202306,100,TODOS,X,1000,1,0.11235955056179776,1000,1,0.11235955056179776
score_ext_1,202306,80,TODOS,X,808,187,21.01123595505618,808,187,21.01123595505618
score_ext_1,202306,95,TODOS,Y,942,128,6.153846153846154,941,130,6.25
score_ext_1,202306,85,TODOS,Y,831,334,16.05769230769231,842,309,14.85576923076923
score_ext_1,202306,90,TODOS,X,901,98,11.01123595505618,902,97,10.89887640449438
score_ext_1,202306,100,TODOS,Y,1000,1,0.04807692307692308,1000,1,0.04807692307692308
score_ext_1,202306,50,TODOS,X,496,448,50.337078651685395,506,432,48.53932584269663
score_ext_1,202306,85,TODOS,X,859,143,16.06741573033708,859,143,16.06741573033708
score_ext_1,202306,30,TODOS,Y,295,1452,69.8076923076923,309,1426,68.5576923076923
