score,safra,group_ab,group_xy,psi_value
score_final,202304,B,Y,1852.3081350508041
score_final,202304,A,X,1460.492530374278
score_ext_1,202304,B,TODOS,0.997817224768138
score_ext_1,202304,B,Y,3.2362627342776067
score_ext_1,202304,A,TODOS,0.2425001692435945
score_ext_1,202304,A,Y,0.22851966959853337
score_ext_1,202304,A,X,4.72895338293535
score_ext_1,202304,B,X,2.701170000014813
score_ext_1,202304,TODOS,Y,0.28347497948767575
score_final,202304,B,X,2487.9691469245254
score_final,202304,A,Y,1849.2111331955962
score_ext_1,202304,TODOS,X,4.939015330193332
score_final,202304,TODOS,X,1510.497727056352
score_final,202304,B,TODOS,1890.92714934281
score_final,202304,TODOS,Y,1870.5859104724757
score_ext_1,202304,TODOS,TODOS,0.12389310709497531
score_final,202304,TODOS,TODOS,1485.7668028629378
score_final,202304,A,TODOS,1446.4189915740872
