score,safra,group_ab,group_xy,psi_value
score_ext_1,202305,TODOS,X,0.20663237119045239
score_ext_1,202305,A,Y,0.3954784481674647
score_ext_1,202305,B,TODOS,1.5821448391868864
score_final,202305,B,Y,1363.601393634146
score_final,202305,A,X,1479.772976932524
score_ext_1,202305,B,Y,2.0274327524473423
score_final,202305,B,X,1887.357608708452
score_ext_1,202305,A,X,0.6042970036956332
score_ext_1,202305,A,TODOS,0.5979221749132966
score_ext_1,202305,TODOS,Y,0.4925047935391912
score_ext_1,202305,B,X,3.944448465804137
score_final,202305,A,Y,1454.7516267786334
score_ext_1,202305,TODOS,TODOS,0.601159652467586
score_final,202305,B,TODOS,1397.0579727253748
score_final,202305,TODOS,X,1504.94544049713
score_final,202305,TODOS,Y,1462.5710509850583
score_final,202305,A,TODOS,1461.44659492244
score_final,202305,TODOS,TODOS,1472.0839024075012
